Year,BA,Scenario,Threshold,Peak_Load,Hours_Above_Threshold,Percent_Above_Threshold
1984,TIDC,historic,0.9,348.45,57.0,0.6489071038251366
1984,TPWR,historic,0.9,668.47,114.0,1.2978142076502732
1984,TVA,historic,0.9,20693.13,14.0,0.15938069216757741
1984,WACM,historic,0.9,1652.56,431.0,4.906648451730419
1984,WALC,historic,0.9,761.75,132.0,1.5027322404371584
1984,WAUW,historic,0.9,85.41,180.0,2.0491803278688523
1985,AEC,historic,0.9,834.89,13.0,0.14840182648401826
1985,AECI,historic,0.9,2842.62,18.0,0.2054794520547945
1985,AVA,historic,0.9,1723.74,43.0,0.4908675799086758
1985,AZPS,historic,0.9,2865.77,69.0,0.7876712328767124
1985,BANC,historic,0.9,2585.03,40.0,0.45662100456621
1985,BPAT,historic,0.9,7680.89,79.0,0.9018264840182649
1985,CHPD,historic,0.9,353.45,46.0,0.5251141552511416
1985,CISO,historic,0.9,28541.86,33.0,0.3767123287671233
1985,CPLE,historic,0.9,8334.42,9.0,0.10273972602739725
1985,DOPD,historic,0.9,263.02,146.0,1.6666666666666667
1985,DUK,historic,0.9,12522.53,16.0,0.182648401826484
1985,EPE,historic,0.9,802.49,55.0,0.6278538812785388
1985,ERCO,historic,0.9,29291.14,222.0,2.5342465753424657
1985,FMPP,historic,0.9,1800.53,11.0,0.12557077625570776
1985,FPC,historic,0.9,6476.91,5.0,0.05707762557077625
1985,FPL,historic,0.9,10429.45,112.0,1.2785388127853883
1985,GCPD,historic,0.9,651.63,195.0,2.2260273972602738
1985,GVL,historic,0.9,231.92,6.0,0.0684931506849315
1985,HST,historic,0.9,43.51,484.0,5.525114155251141
1985,IID,historic,0.9,623.09,35.0,0.3995433789954338
1985,IPCO,historic,0.9,2054.25,86.0,0.9817351598173516
1985,ISNE,historic,0.9,17229.52,34.0,0.3881278538812785
1985,JEA,historic,0.9,1919.3,4.0,0.045662100456621
1985,LDWP,historic,0.9,3842.35,42.0,0.4794520547945206
1985,LGEE,historic,0.9,5079.91,25.0,0.28538812785388123
1985,MISO,historic,0.9,61750.23,139.0,1.5867579908675797
1985,NEVP,historic,0.9,3276.24,96.0,1.095890410958904
1985,NSB,historic,0.9,59.46,5.0,0.05707762557077625
1985,NWMT,historic,0.9,1086.14,292.0,3.3333333333333335
1985,NYIS,historic,0.9,19274.65,63.0,0.7191780821917808
1985,PACE,historic,0.9,3879.07,149.0,1.7009132420091322
1985,PACW,historic,0.9,2457.47,14.0,0.15981735159817353
1985,PGE,historic,0.9,2708.37,15.0,0.17123287671232876
1985,PJM,historic,0.9,101580.51,92.0,1.0502283105022832
1985,PNM,historic,0.9,1143.61,120.0,1.36986301369863
1985,PSCO,historic,0.9,3223.66,79.0,0.9018264840182649
1985,PSEI,historic,0.9,4341.86,53.0,0.6050228310502284
1985,SC,historic,0.9,3587.18,9.0,0.10273972602739725
1985,SCEG,historic,0.9,3420.5,8.0,0.091324200913242
1985,SCL,historic,0.9,1386.64,60.0,0.684931506849315
1985,SEC,historic,0.9,200.18,12.0,0.136986301369863
1985,SOCO,historic,0.9,27700.61,16.0,0.182648401826484
1985,SPA,historic,0.9,65.22,45.0,0.5136986301369862
1985,SRP,historic,0.9,2810.14,80.0,0.91324200913242
1985,SWPP,historic,0.9,24084.6,153.0,1.7465753424657535
1985,TAL,historic,0.9,372.94,7.0,0.07990867579908677
1985,TEC,historic,0.9,2047.39,6.0,0.0684931506849315
1985,TEPC,historic,0.9,1257.53,67.0,0.7648401826484018
1985,TIDC,historic,0.9,369.84,51.0,0.5821917808219178
1985,TPWR,historic,0.9,735.35,90.0,1.0273972602739725
1985,TVA,historic,0.9,26009.41,22.0,0.2511415525114155
1985,WACM,historic,0.9,1885.39,159.0,1.8150684931506849
1985,WALC,historic,0.9,859.48,163.0,1.860730593607306
1985,WAUW,historic,0.9,91.52,210.0,2.3972602739726026
1986,AEC,historic,0.9,668.22,17.0,0.19406392694063926
1986,AECI,historic,0.9,2664.66,14.0,0.15981735159817353
1986,AVA,historic,0.9,1666.41,123.0,1.404109589041096
1986,AZPS,historic,0.9,3075.67,41.0,0.46803652968036524
1986,BANC,historic,0.9,2487.63,87.0,0.9931506849315069
1986,BPAT,historic,0.9,7578.37,40.0,0.45662100456621
1986,CHPD,historic,0.9,364.05,11.0,0.12557077625570776
1986,CISO,historic,0.9,28582.93,54.0,0.6164383561643836
1986,CPLE,historic,0.9,7217.62,13.0,0.14840182648401826
1986,DOPD,historic,0.9,282.32,12.0,0.136986301369863
1986,DUK,historic,0.9,11920.77,37.0,0.4223744292237443
1986,EPE,historic,0.9,879.3,41.0,0.46803652968036524
1986,ERCO,historic,0.9,33267.75,79.0,0.9018264840182649
1986,FMPP,historic,0.9,1808.0,8.0,0.091324200913242
1986,FPC,historic,0.9,6011.47,6.0,0.0684931506849315
1986,FPL,historic,0.9,11073.66,301.0,3.436073059360731
