BA,Scenario,Era_One_Delta_Value,Era_Two_Delta_Value
ERCO,rcp45hotter_ssp5,42.75,35.5
ERCO,rcp85cooler_ssp3,21.125,36.0
ERCO,rcp85cooler_ssp5,19.75,31.125
ERCO,rcp85hotter_ssp3,41.875,74.125
ERCO,rcp85hotter_ssp5,39.75,70.25
FMPP,rcp45cooler_ssp3,16.125,12.625
FMPP,rcp45cooler_ssp5,18.875,18.625
FMPP,rcp45hotter_ssp3,2.625,31.25
FMPP,rcp45hotter_ssp5,6.25,43.5
FMPP,rcp85cooler_ssp3,0.25,13.375
FMPP,rcp85cooler_ssp5,2.25,28.0
FMPP,rcp85hotter_ssp3,25.375,55.5
FMPP,rcp85hotter_ssp5,25.25,65.875
FPC,rcp45cooler_ssp3,23.5,25.0
FPC,rcp45cooler_ssp5,26.75,24.625
FPC,rcp45hotter_ssp3,23.375,49.25
FPC,rcp45hotter_ssp5,25.0,54.75
FPC,rcp85cooler_ssp3,26.625,40.5
FPC,rcp85cooler_ssp5,27.25,48.875
FPC,rcp85hotter_ssp3,54.0,80.125
FPC,rcp85hotter_ssp5,59.875,86.5
FPL,rcp45cooler_ssp3,-1.375,6.25
FPL,rcp45cooler_ssp5,0.875,11.25
FPL,rcp45hotter_ssp3,7.75,34.125
FPL,rcp45hotter_ssp5,18.0,37.25
FPL,rcp85cooler_ssp3,-1.25,1.625
FPL,rcp85cooler_ssp5,7.25,12.625
FPL,rcp85hotter_ssp3,11.375,20.625
FPL,rcp85hotter_ssp5,15.75,28.5
GCPD,rcp45cooler_ssp3,1.375,1.25
GCPD,rcp45cooler_ssp5,2.5,-0.875
GCPD,rcp45hotter_ssp3,8.0,18.5
GCPD,rcp45hotter_ssp5,10.0,16.625
GCPD,rcp85cooler_ssp3,1.0,8.875
GCPD,rcp85cooler_ssp5,2.625,5.625
GCPD,rcp85hotter_ssp3,13.0,11.125
GCPD,rcp85hotter_ssp5,14.25,8.75
GVL,rcp45cooler_ssp3,12.125,13.0
GVL,rcp45cooler_ssp5,12.0,13.0
GVL,rcp45hotter_ssp3,10.25,19.25
GVL,rcp45hotter_ssp5,10.25,19.25
GVL,rcp85cooler_ssp3,6.25,6.625
GVL,rcp85cooler_ssp5,6.25,6.625
GVL,rcp85hotter_ssp3,12.125,26.0
GVL,rcp85hotter_ssp5,12.125,26.0
HST,rcp45cooler_ssp3,-33.5,-70.0
HST,rcp45cooler_ssp5,-33.625,-69.875
HST,rcp45hotter_ssp3,8.875,-15.125
HST,rcp45hotter_ssp5,8.625,-15.125
HST,rcp85cooler_ssp3,-37.0,-60.25
HST,rcp85cooler_ssp5,-37.5,-60.25
HST,rcp85hotter_ssp3,-11.375,-49.625
HST,rcp85hotter_ssp5,-11.625,-49.625
IID,rcp45cooler_ssp3,6.0,-1.75
IID,rcp45cooler_ssp5,5.625,-0.875
IID,rcp45hotter_ssp3,6.5,1.125
IID,rcp45hotter_ssp5,6.25,1.0
IID,rcp85cooler_ssp3,2.5,3.625
IID,rcp85cooler_ssp5,2.375,4.625
IID,rcp85hotter_ssp3,-1.5,1.375
IID,rcp85hotter_ssp5,-1.5,1.75
IPCO,rcp45cooler_ssp3,10.25,4.375
IPCO,rcp45cooler_ssp5,7.25,3.25
IPCO,rcp45hotter_ssp3,8.375,3.25
IPCO,rcp45hotter_ssp5,7.75,0.875
IPCO,rcp85cooler_ssp3,6.75,1.25
IPCO,rcp85cooler_ssp5,5.0,-0.125
IPCO,rcp85hotter_ssp3,12.0,7.125
IPCO,rcp85hotter_ssp5,8.5,5.375
ISNE,rcp45cooler_ssp3,2.25,4.375
ISNE,rcp45cooler_ssp5,1.5,7.625
ISNE,rcp45hotter_ssp3,11.75,12.375
ISNE,rcp45hotter_ssp5,10.375,15.5
ISNE,rcp85cooler_ssp3,11.875,15.5
ISNE,rcp85cooler_ssp5,12.375,17.0
ISNE,rcp85hotter_ssp3,13.875,36.75
ISNE,rcp85hotter_ssp5,13.625,40.5
JEA,rcp45cooler_ssp3,77.125,69.375
JEA,rcp45cooler_ssp5,75.75,70.75
JEA,rcp45hotter_ssp3,71.125,81.375
JEA,rcp45hotter_ssp5,68.25,81.5
JEA,rcp85cooler_ssp3,75.5,92.375
JEA,rcp85cooler_ssp5,73.75,92.5
JEA,rcp85hotter_ssp3,73.25,106.125
JEA,rcp85hotter_ssp5,71.75,105.75
LDWP,rcp45cooler_ssp3,8.875,8.75
LDWP,rcp45cooler_ssp5,8.75,9.0
LDWP,rcp45hotter_ssp3,19.0,23.875
LDWP,rcp45hotter_ssp5,18.625,23.875
LDWP,rcp85cooler_ssp3,10.875,17.375
LDWP,rcp85cooler_ssp5,11.0,17.625
LDWP,rcp85hotter_ssp3,13.375,25.75
LDWP,rcp85hotter_ssp5,13.5,25.75
LGEE,rcp45cooler_ssp3,14.75,25.0
LGEE,rcp45cooler_ssp5,13.875,22.375
LGEE,rcp45hotter_ssp3,14.25,59.875
LGEE,rcp45hotter_ssp5,13.75,60.125
LGEE,rcp85cooler_ssp3,29.5,60.125
LGEE,rcp85cooler_ssp5,28.5,58.25
LGEE,rcp85hotter_ssp3,40.875,68.75
LGEE,rcp85hotter_ssp5,39.125,62.625
MISO,rcp45cooler_ssp3,27.0,61.25
MISO,rcp45cooler_ssp5,29.5,61.0
MISO,rcp45hotter_ssp3,27.125,86.125
MISO,rcp45hotter_ssp5,30.25,83.25
MISO,rcp85cooler_ssp3,22.75,90.25
MISO,rcp85cooler_ssp5,27.5,86.875
MISO,rcp85hotter_ssp3,40.625,110.125
MISO,rcp85hotter_ssp5,44.125,112.5
NEVP,rcp45cooler_ssp3,0.375,9.5
NEVP,rcp45cooler_ssp5,4.875,6.75
NEVP,rcp45hotter_ssp3,4.875,5.375
NEVP,rcp45hotter_ssp5,9.25,5.375
NEVP,rcp85cooler_ssp3,0.5,15.875
NEVP,rcp85cooler_ssp5,5.875,16.625
NEVP,rcp85hotter_ssp3,10.25,18.125
NEVP,rcp85hotter_ssp5,14.875,18.0
NSB,rcp45cooler_ssp3,16.375,7.0
NSB,rcp45cooler_ssp5,16.375,6.875
NSB,rcp45hotter_ssp3,32.5,18.125
NSB,rcp45hotter_ssp5,32.75,18.125
NSB,rcp85cooler_ssp3,13.375,24.625
NSB,rcp85cooler_ssp5,13.375,24.625
NSB,rcp85hotter_ssp3,6.375,22.125
NSB,rcp85hotter_ssp5,6.25,22.125
NWMT,rcp45cooler_ssp3,-52.75,-99.5
NWMT,rcp45cooler_ssp5,-53.875,-100.75
NWMT,rcp45hotter_ssp3,-73.375,-123.375
NWMT,rcp45hotter_ssp5,-76.125,-116.5
NWMT,rcp85cooler_ssp3,-65.75,-111.875
NWMT,rcp85cooler_ssp5,-69.0,-107.875
NWMT,rcp85hotter_ssp3,-84.875,-131.875
NWMT,rcp85hotter_ssp5,-84.625,-125.375
NYIS,rcp45cooler_ssp3,10.75,2.125
NYIS,rcp45cooler_ssp5,9.375,2.5
NYIS,rcp45hotter_ssp3,14.125,11.0
NYIS,rcp45hotter_ssp5,15.0,14.0
NYIS,rcp85cooler_ssp3,13.875,16.625
NYIS,rcp85cooler_ssp5,13.875,19.25
NYIS,rcp85hotter_ssp3,28.25,30.125
NYIS,rcp85hotter_ssp5,28.375,32.375
PACE,rcp45cooler_ssp3,-2.0,2.75
PACE,rcp45cooler_ssp5,-4.125,-0.875
PACE,rcp45hotter_ssp3,-5.375,5.625
PACE,rcp45hotter_ssp5,-7.625,-0.125
PACE,rcp85cooler_ssp3,0.25,13.125
PACE,rcp85cooler_ssp5,-0.125,9.0
PACE,rcp85hotter_ssp3,2.5,22.5
PACE,rcp85hotter_ssp5,1.875,16.875
PACW,rcp45cooler_ssp3,16.875,17.875
PACW,rcp45cooler_ssp5,6.375,19.75
PACW,rcp45hotter_ssp3,13.125,38.375
PACW,rcp45hotter_ssp5,9.5,23.75
PACW,rcp85cooler_ssp3,9.375,35.0
PACW,rcp85cooler_ssp5,1.75,27.75
PACW,rcp85hotter_ssp3,20.875,40.25
PACW,rcp85hotter_ssp5,17.625,13.375
PGE,rcp45cooler_ssp3,0.0,-3.625
PGE,rcp45cooler_ssp5,-0.125,-4.75
PGE,rcp45hotter_ssp3,-3.625,2.625
PGE,rcp45hotter_ssp5,-3.875,1.625
PGE,rcp85cooler_ssp3,-3.75,1.5
PGE,rcp85cooler_ssp5,-4.5,1.375
PGE,rcp85hotter_ssp3,-1.375,6.5
PGE,rcp85hotter_ssp5,-1.875,5.5
PJM,rcp45cooler_ssp3,27.875,32.125
PJM,rcp45cooler_ssp5,26.875,30.125
PJM,rcp45hotter_ssp3,33.0,50.875
PJM,rcp45hotter_ssp5,32.875,50.75
PJM,rcp85cooler_ssp3,43.5,58.125
PJM,rcp85cooler_ssp5,41.875,60.0
PJM,rcp85hotter_ssp3,59.125,90.375
PJM,rcp85hotter_ssp5,58.5,92.5
PNM,rcp45cooler_ssp3,24.5,14.25
PNM,rcp45cooler_ssp5,19.25,16.75
PNM,rcp45hotter_ssp3,28.25,26.0
PNM,rcp45hotter_ssp5,27.375,28.5
PNM,rcp85cooler_ssp3,18.875,41.25
PNM,rcp85cooler_ssp5,17.5,45.375
PNM,rcp85hotter_ssp3,27.0,69.0
PNM,rcp85hotter_ssp5,27.75,73.25
PSCO,rcp45cooler_ssp3,-0.5,5.75
PSCO,rcp45cooler_ssp5,0.375,5.25
PSCO,rcp45hotter_ssp3,0.25,17.625
PSCO,rcp45hotter_ssp5,1.875,18.25
PSCO,rcp85cooler_ssp3,-1.375,5.375
PSCO,rcp85cooler_ssp5,3.125,2.125
PSCO,rcp85hotter_ssp3,5.75,24.125
