Year,State_FIPS,State_Name,County_FIPS,County_Name,BA_Number,BA_Code
2019,53000,Washington,53023,Garfield County,1738.0,BPAT
2019,53000,Washington,53025,Grant County,1738.0,BPAT
2019,53000,Washington,53027,Grays Harbor County,1738.0,BPAT
2019,53000,Washington,53029,Island County,1738.0,BPAT
2019,53000,Washington,53031,Jefferson County,1738.0,BPAT
2019,53000,Washington,53033,King County,1738.0,BPAT
2019,53000,Washington,53035,Kitsap County,1738.0,BPAT
2019,53000,Washington,53037,Kittitas County,1738.0,BPAT
2019,53000,Washington,53039,Klickitat County,1738.0,BPAT
2019,53000,Washington,53041,Lewis County,1738.0,BPAT
2019,53000,Washington,53043,Lincoln County,1738.0,BPAT
2019,53000,Washington,53045,Mason County,1738.0,BPAT
2019,53000,Washington,53047,Okanogan County,1738.0,BPAT
2019,53000,Washington,53049,Pacific County,1738.0,BPAT
2019,53000,Washington,53051,Pend Oreille County,1738.0,BPAT
2019,53000,Washington,53053,Pierce County,1738.0,BPAT
2019,53000,Washington,53055,San Juan County,1738.0,BPAT
2019,53000,Washington,53057,Skagit County,1738.0,BPAT
2019,53000,Washington,53059,Skamania County,1738.0,BPAT
2019,53000,Washington,53061,Snohomish County,1738.0,BPAT
2019,53000,Washington,53063,Spokane County,1738.0,BPAT
2019,53000,Washington,53065,Stevens County,1738.0,BPAT
2019,53000,Washington,53067,Thurston County,1738.0,BPAT
2019,53000,Washington,53069,Wahkiakum County,1738.0,BPAT
2019,53000,Washington,53071,Walla Walla County,1738.0,BPAT
2019,53000,Washington,53073,Whatcom County,1738.0,BPAT
2019,53000,Washington,53075,Whitman County,1738.0,BPAT
2019,53000,Washington,53077,Yakima County,1738.0,BPAT
2019,56000,Wyoming,56023,Lincoln County,1738.0,BPAT
2019,56000,Wyoming,56033,Sheridan County,1738.0,BPAT
2019,56000,Wyoming,56035,Sublette County,1738.0,BPAT
2019,56000,Wyoming,56039,Teton County,1738.0,BPAT
2019,6000,California,6001,Alameda County,2775.0,CISO
2019,6000,California,6003,Alpine County,2775.0,CISO
2019,6000,California,6005,Amador County,2775.0,CISO
2019,6000,California,6007,Butte County,2775.0,CISO
2019,6000,California,6009,Calaveras County,2775.0,CISO
2019,6000,California,6011,Colusa County,2775.0,CISO
2019,6000,California,6013,Contra Costa County,2775.0,CISO
2019,6000,California,6017,El Dorado County,2775.0,CISO
2019,6000,California,6019,Fresno County,2775.0,CISO
2019,6000,California,6021,Glenn County,2775.0,CISO
2019,6000,California,6023,Humboldt County,2775.0,CISO
2019,6000,California,6025,Imperial County,2775.0,CISO
2019,6000,California,6027,Inyo County,2775.0,CISO
2019,6000,California,6029,Kern County,2775.0,CISO
2019,6000,California,6031,Kings County,2775.0,CISO
2019,6000,California,6033,Lake County,2775.0,CISO
2019,6000,California,6035,Lassen County,2775.0,CISO
2019,6000,California,6037,Los Angeles County,2775.0,CISO
2019,6000,California,6039,Madera County,2775.0,CISO
2019,6000,California,6041,Marin County,2775.0,CISO
2019,6000,California,6043,Mariposa County,2775.0,CISO
2019,6000,California,6045,Mendocino County,2775.0,CISO
2019,6000,California,6047,Merced County,2775.0,CISO
2019,6000,California,6049,Modoc County,2775.0,CISO
2019,6000,California,6051,Mono County,2775.0,CISO
2019,6000,California,6053,Monterey County,2775.0,CISO
2019,6000,California,6055,Napa County,2775.0,CISO
2019,6000,California,6057,Nevada County,2775.0,CISO
2019,6000,California,6059,Orange County,2775.0,CISO
2019,6000,California,6061,Placer County,2775.0,CISO
2019,6000,California,6063,Plumas County,2775.0,CISO
2019,6000,California,6065,Riverside County,2775.0,CISO
2019,6000,California,6067,Sacramento County,2775.0,CISO
2019,6000,California,6069,San Benito County,2775.0,CISO
2019,6000,California,6071,San Bernardino County,2775.0,CISO
2019,6000,California,6073,San Diego County,2775.0,CISO
2019,6000,California,6075,San Francisco County,2775.0,CISO
2019,6000,California,6077,San Joaquin County,2775.0,CISO
2019,6000,California,6079,San Luis Obispo County,2775.0,CISO
2019,6000,California,6081,San Mateo County,2775.0,CISO
2019,6000,California,6083,Santa Barbara County,2775.0,CISO
2019,6000,California,6085,Santa Clara County,2775.0,CISO
2019,6000,California,6087,Santa Cruz County,2775.0,CISO
2019,6000,California,6089,Shasta County,2775.0,CISO
2019,6000,California,6091,Sierra County,2775.0,CISO
2019,6000,California,6093,Siskiyou County,2775.0,CISO
2019,6000,California,6095,Solano County,2775.0,CISO
2019,6000,California,6097,Sonoma County,2775.0,CISO
2019,6000,California,6099,Stanislaus County,2775.0,CISO
2019,6000,California,6101,Sutter County,2775.0,CISO
2019,6000,California,6103,Tehama County,2775.0,CISO
2019,6000,California,6105,Trinity County,2775.0,CISO
2019,6000,California,6107,Tulare County,2775.0,CISO
2019,6000,California,6109,Tuolumne County,2775.0,CISO
2019,6000,California,6111,Ventura County,2775.0,CISO
2019,6000,California,6113,Yolo County,2775.0,CISO
2019,6000,California,6115,Yuba County,2775.0,CISO
2019,32000,Nevada,32031,Washoe County,2775.0,CISO
2019,37000,North Carolina,37001,Alamance County,3046.0,CPLE
2019,37000,North Carolina,37007,Anson County,3046.0,CPLE
2019,37000,North Carolina,37011,Avery County,3046.0,CPLE
2019,37000,North Carolina,37013,Beaufort County,3046.0,CPLE
2019,37000,North Carolina,37017,Bladen County,3046.0,CPLE
2019,37000,North Carolina,37019,Brunswick County,3046.0,CPLE
2019,37000,North Carolina,37021,Buncombe County,3046.0,CPLE
2019,37000,North Carolina,37031,Carteret County,3046.0,CPLE
2019,37000,North Carolina,37033,Caswell County,3046.0,CPLE
2019,37000,North Carolina,37037,Chatham County,3046.0,CPLE
2019,37000,North Carolina,37041,Chowan County,3046.0,CPLE
2019,37000,North Carolina,37047,Columbus County,3046.0,CPLE
2019,37000,North Carolina,37049,Craven County,3046.0,CPLE
2019,37000,North Carolina,37051,Cumberland County,3046.0,CPLE
2019,37000,North Carolina,37061,Duplin County,3046.0,CPLE
2019,37000,North Carolina,37063,Durham County,3046.0,CPLE
2019,37000,North Carolina,37065,Edgecombe County,3046.0,CPLE
2019,37000,North Carolina,37069,Franklin County,3046.0,CPLE
2019,37000,North Carolina,37077,Granville County,3046.0,CPLE
2019,37000,North Carolina,37079,Greene County,3046.0,CPLE
2019,37000,North Carolina,37081,Guilford County,3046.0,CPLE
2019,37000,North Carolina,37083,Halifax County,3046.0,CPLE
2019,37000,North Carolina,37085,Harnett County,3046.0,CPLE
2019,37000,North Carolina,37087,Haywood County,3046.0,CPLE
2019,37000,North Carolina,37089,Henderson County,3046.0,CPLE
2019,37000,North Carolina,37093,Hoke County,3046.0,CPLE
2019,37000,North Carolina,37099,Jackson County,3046.0,CPLE
2019,37000,North Carolina,37101,Johnston County,3046.0,CPLE
2019,37000,North Carolina,37103,Jones County,3046.0,CPLE
2019,37000,North Carolina,37105,Lee County,3046.0,CPLE
2019,37000,North Carolina,37107,Lenoir County,3046.0,CPLE
2019,37000,North Carolina,37111,McDowell County,3046.0,CPLE
2019,37000,North Carolina,37115,Madison County,3046.0,CPLE
2019,37000,North Carolina,37117,Martin County,3046.0,CPLE
2019,37000,North Carolina,37121,Mitchell County,3046.0,CPLE
2019,37000,North Carolina,37123,Montgomery County,3046.0,CPLE
2019,37000,North Carolina,37125,Moore County,3046.0,CPLE
2019,37000,North Carolina,37127,Nash County,3046.0,CPLE
2019,37000,North Carolina,37129,New Hanover County,3046.0,CPLE
2019,37000,North Carolina,37133,Onslow County,3046.0,CPLE
2019,37000,North Carolina,37135,Orange County,3046.0,CPLE
2019,37000,North Carolina,37137,Pamlico County,3046.0,CPLE
2019,37000,North Carolina,37139,Pasquotank County,3046.0,CPLE
2019,37000,North Carolina,37141,Pender County,3046.0,CPLE
2019,37000,North Carolina,37143,Perquimans County,3046.0,CPLE
2019,37000,North Carolina,37145,Person County,3046.0,CPLE
2019,37000,North Carolina,37147,Pitt County,3046.0,CPLE
2019,37000,North Carolina,37151,Randolph County,3046.0,CPLE
2019,37000,North Carolina,37153,Richmond County,3046.0,CPLE
2019,37000,North Carolina,37155,Robeson County,3046.0,CPLE
2019,37000,North Carolina,37161,Rutherford County,3046.0,CPLE
2019,37000,North Carolina,37163,Sampson County,3046.0,CPLE
2019,37000,North Carolina,37165,Scotland County,3046.0,CPLE
2019,37000,North Carolina,37167,Stanly County,3046.0,CPLE
2019,37000,North Carolina,37179,Union County,3046.0,CPLE
2019,37000,North Carolina,37181,Vance County,3046.0,CPLE
2019,37000,North Carolina,37183,Wake County,3046.0,CPLE
2019,37000,North Carolina,37185,Warren County,3046.0,CPLE
2019,37000,North Carolina,37191,Wayne County,3046.0,CPLE
2019,37000,North Carolina,37195,Wilson County,3046.0,CPLE
2019,37000,North Carolina,37199,Yancey County,3046.0,CPLE
2019,45000,South Carolina,45025,Chesterfield County,3046.0,CPLE
2019,45000,South Carolina,45027,Clarendon County,3046.0,CPLE
2019,45000,South Carolina,45031,Darlington County,3046.0,CPLE
2019,45000,South Carolina,45033,Dillon County,3046.0,CPLE
2019,45000,South Carolina,45041,Florence County,3046.0,CPLE
2019,45000,South Carolina,45043,Georgetown County,3046.0,CPLE
2019,45000,South Carolina,45051,Horry County,3046.0,CPLE
2019,45000,South Carolina,45055,Kershaw County,3046.0,CPLE
2019,45000,South Carolina,45061,Lee County,3046.0,CPLE
2019,45000,South Carolina,45067,Marion County,3046.0,CPLE
2019,45000,South Carolina,45069,Marlboro County,3046.0,CPLE
2019,45000,South Carolina,45085,Sumter County,3046.0,CPLE
2019,45000,South Carolina,45089,Williamsburg County,3046.0,CPLE
2019,47000,Tennessee,47029,Cocke County,3046.0,CPLE
2019,47000,Tennessee,47171,Unicoi County,3046.0,CPLE
2019,53000,Washington,53007,Chelan County,3413.0,CHPD
