Scenario,Year,State,Total_Load_TWh,Peak_Load_MWh,Total_Load_Normalized,Peak_Load_Normalized
historic,1983.0,Illinois,81.50701135,15605.63,0.538,0.531
historic,1983.0,Indiana,57.13637253,10437.17,0.543,0.541
historic,1983.0,Iowa,20.858252359999998,3717.62,0.403,0.405
historic,1983.0,Kansas,19.24698929,3721.54,0.422,0.439
historic,1983.0,Kentucky,51.61071818,9987.98,0.635,0.653
historic,1983.0,Louisiana,45.11080124,8035.7,0.474,0.478
historic,1983.0,Maine,8.02841529,1488.53,0.65,0.624
historic,1983.0,Maryland,33.90321599,6732.58,0.471,0.463
historic,1983.0,Massachusetts,30.6576853,5684.18,0.502,0.482
historic,1983.0,Michigan,63.25363429,11350.07,0.589,0.593
historic,1983.0,Minnesota,33.590431630000005,5983.08,0.457,0.461
historic,1983.0,Mississippi,22.430593010000003,4077.01,0.433,0.446
historic,1983.0,Missouri,38.03356786,6887.11,0.413,0.419
historic,1983.0,Montana,10.29771586,1725.3,0.68,0.733
historic,1983.0,Nebraska,12.230747119999998,2342.49,0.372,0.386
historic,1983.0,Nevada,10.82086501,2229.23,0.263,0.259
historic,1983.0,New Hampshire,6.20894158,1151.19,0.511,0.491
historic,1983.0,New Jersey,44.63615309,8748.95,0.519,0.506
historic,1983.0,New Mexico,9.196093470000001,1593.68,0.376,0.356
historic,1983.0,New York,91.53596823000001,17058.32,0.531,0.522
historic,1983.0,North Carolina,63.77526814,12601.21,0.423,0.443
historic,1983.0,North Dakota,4.6365873099999995,840.33,0.238,0.241
historic,1983.0,Ohio,112.06660348,22254.46,0.721,0.708
historic,1983.0,Oklahoma,28.8171455,5562.55,0.431,0.445
historic,1983.0,Oregon,31.66618245,6022.37,0.576,0.657
historic,1983.0,Pennsylvania,88.93641865000001,17655.87,0.564,0.553
historic,1983.0,Rhode Island,4.3859113700000005,813.18,0.517,0.496
historic,1983.0,South Carolina,39.43637141,7849.11,0.442,0.473
historic,1983.0,South Dakota,4.28781008,768.1,0.322,0.328
historic,1983.0,Tennessee,64.70792842,13960.53,0.577,0.658
historic,1983.0,Texas,168.40003421,31785.75,0.385,0.383
historic,1983.0,Utah,10.67784583,1819.62,0.297,0.295
historic,1983.0,Vermont,3.2107815,595.3,0.539,0.517
historic,1983.0,Virginia,47.94335423,9493.0,0.377,0.371
historic,1983.0,Washington,67.57286118,12819.01,0.626,0.675
historic,1983.0,West Virginia,18.256549539999998,3625.43,0.566,0.556
historic,1983.0,Wisconsin,34.59699557,6163.04,0.473,0.478
historic,1983.0,Wyoming,8.35322665,1344.07,0.51,0.512
historic,1984.0,Alabama,48.77765713,9291.66,0.519,0.524
historic,1984.0,Arizona,30.92937869,6745.19,0.345,0.333
historic,1984.0,Arkansas,20.80258516,3601.2,0.415,0.404
historic,1984.0,California,161.37767982,33218.3,0.509,0.535
historic,1984.0,Colorado,22.610361920000003,3834.31,0.372,0.35
historic,1984.0,Connecticut,20.314800260000002,3642.83,0.638,0.592
historic,1984.0,Delaware,6.41349228,1231.98,0.507,0.481
historic,1984.0,District of Columbia,7.60684316,1461.22,0.58,0.551
historic,1984.0,Florida,102.00378126000001,19420.13,0.378,0.374
historic,1984.0,Georgia,59.6588363,11139.46,0.397,0.392
historic,1984.0,Idaho,14.19531683,2520.87,0.538,0.509
historic,1984.0,Illinois,87.52746043,16123.84,0.578,0.549
historic,1984.0,Indiana,60.66081124,10618.7,0.576,0.55
historic,1984.0,Iowa,22.54768806,3885.7,0.435,0.424
historic,1984.0,Kansas,20.807446350000003,3935.7,0.457,0.464
historic,1984.0,Kentucky,53.86665372,10401.78,0.662,0.68
historic,1984.0,Louisiana,48.75836193,8316.27,0.512,0.494
historic,1984.0,Maine,8.69758563,1559.64,0.704,0.653
historic,1984.0,Maryland,36.893951689999994,7087.06,0.513,0.487
historic,1984.0,Massachusetts,33.46833367,6001.5,0.548,0.509
historic,1984.0,Michigan,67.23487245,11474.03,0.627,0.599
historic,1984.0,Minnesota,36.24728161,6146.12,0.493,0.474
historic,1984.0,Mississippi,24.30928773,4304.02,0.469,0.471
historic,1984.0,Missouri,41.163209159999994,7353.2,0.447,0.447
historic,1984.0,Montana,10.892445519999999,1714.17,0.719,0.729
historic,1984.0,Nebraska,13.3175374,2490.79,0.405,0.41
historic,1984.0,Nevada,11.88383773,2479.26,0.289,0.288
historic,1984.0,New Hampshire,6.7370752099999995,1208.08,0.555,0.515
historic,1984.0,New Jersey,48.225334450000005,9185.12,0.561,0.531
historic,1984.0,New Mexico,10.07462973,1736.76,0.412,0.388
historic,1984.0,New York,98.88236604000001,17815.91,0.574,0.545
historic,1984.0,North Carolina,68.89170564,13501.19,0.457,0.475
historic,1984.0,North Dakota,5.081895889999999,900.24,0.261,0.258
historic,1984.0,Ohio,118.53388213,22769.49,0.763,0.725
historic,1984.0,Oklahoma,31.43727645,5957.37,0.47,0.476
historic,1984.0,Oregon,33.93617135,5872.85,0.618,0.641
historic,1984.0,Pennsylvania,94.39895920999999,18129.68,0.598,0.568
historic,1984.0,Rhode Island,4.77334817,855.95,0.562,0.522
historic,1984.0,South Carolina,42.60909222,8253.74,0.477,0.498
historic,1984.0,South Dakota,4.68331242,816.09,0.351,0.348
historic,1984.0,Tennessee,67.64991743,14191.72,0.603,0.669
historic,1984.0,Texas,182.00690677,33845.35,0.416,0.408
historic,1984.0,Utah,11.6007699,1898.08,0.322,0.308
historic,1984.0,Vermont,3.49626312,626.95,0.587,0.545
