Scenario,Year,Interconnection,Total_Load_TWh,Peak_Load_MWh,Total_Load_Normalized,Peak_Load_Normalized
rcp45cooler_ssp3,2044.0,ERCOT,369.79463726999995,74388.36,1.133,1.137
rcp45cooler_ssp3,2045.0,EIC,3170.3691728400004,592901.55,1.039,1.05
rcp45cooler_ssp3,2045.0,WECC,966.83963334,184645.94,1.225,1.31
rcp45cooler_ssp3,2045.0,ERCOT,371.91666944,74476.73,1.14,1.139
rcp45cooler_ssp3,2046.0,EIC,3188.9393468400003,640575.3,1.045,1.135
rcp45cooler_ssp3,2046.0,WECC,974.91344653,197532.8,1.236,1.401
rcp45cooler_ssp3,2046.0,ERCOT,376.4990333,76110.6,1.154,1.164
rcp45cooler_ssp3,2047.0,EIC,3210.88922987,617027.4400000001,1.053,1.093
rcp45cooler_ssp3,2047.0,WECC,983.27369246,185105.44,1.246,1.313
rcp45cooler_ssp3,2047.0,ERCOT,377.41525925,77293.79,1.157,1.182
rcp45cooler_ssp3,2048.0,EIC,3228.50339957,600895.24,1.058,1.065
rcp45cooler_ssp3,2048.0,WECC,991.09213594,180067.78,1.256,1.277
rcp45cooler_ssp3,2048.0,ERCOT,383.2090032,77378.31,1.174,1.183
rcp45cooler_ssp3,2049.0,EIC,3245.71772195,620664.99,1.064,1.1
rcp45cooler_ssp3,2049.0,WECC,999.23377177,189805.41,1.267,1.346
rcp45cooler_ssp3,2049.0,ERCOT,389.07939376,79548.85,1.192,1.216
rcp45cooler_ssp3,2050.0,EIC,3267.73559304,617762.04,1.071,1.095
rcp45cooler_ssp3,2050.0,WECC,1006.86877178,188327.68,1.276,1.336
rcp45cooler_ssp3,2050.0,ERCOT,390.65288065,81145.54,1.197,1.241
rcp45cooler_ssp3,2051.0,EIC,3286.35756291,643177.49,1.077,1.14
rcp45cooler_ssp3,2051.0,WECC,1016.98641788,188691.23,1.289,1.338
rcp45cooler_ssp3,2051.0,ERCOT,399.75125834,81516.1,1.225,1.246
rcp45cooler_ssp3,2052.0,EIC,3308.5361600300002,644032.72,1.085,1.141
rcp45cooler_ssp3,2052.0,WECC,1027.5294799,194217.5,1.302,1.378
rcp45cooler_ssp3,2052.0,ERCOT,404.86760530000004,82971.7,1.241,1.269
rcp45cooler_ssp3,2053.0,EIC,3331.92852416,624562.94,1.092,1.107
rcp45cooler_ssp3,2053.0,WECC,1037.72121382,199826.42,1.315,1.417
rcp45cooler_ssp3,2053.0,ERCOT,409.12150226,82594.29,1.254,1.263
rcp45cooler_ssp3,2054.0,EIC,3354.46738547,599556.71,1.1,1.062
rcp45cooler_ssp3,2054.0,WECC,1047.74120952,189627.38,1.328,1.345
rcp45cooler_ssp3,2054.0,ERCOT,414.40064351,81432.16,1.27,1.245
rcp45cooler_ssp3,2055.0,EIC,3374.7657139899998,626714.38,1.106,1.11
rcp45cooler_ssp3,2055.0,WECC,1058.27614393,198542.3,1.341,1.408
rcp45cooler_ssp3,2055.0,ERCOT,421.40538021,85426.75,1.292,1.306
rcp45cooler_ssp3,2056.0,EIC,3426.98604026,651291.86,1.123,1.154
rcp45cooler_ssp3,2056.0,WECC,1073.90385555,203117.81,1.361,1.441
rcp45cooler_ssp3,2056.0,ERCOT,432.26138799,86888.46,1.325,1.328
rcp45cooler_ssp3,2057.0,EIC,3475.9394197399997,661821.2,1.139,1.173
rcp45cooler_ssp3,2057.0,WECC,1089.9420125899999,204545.58,1.382,1.451
rcp45cooler_ssp3,2057.0,ERCOT,445.97389409,88877.7,1.367,1.359
rcp45cooler_ssp3,2058.0,EIC,3528.45909458,646035.08,1.157,1.145
rcp45cooler_ssp3,2058.0,WECC,1105.1646993,210983.03,1.401,1.496
rcp45cooler_ssp3,2058.0,ERCOT,456.93557135000003,94742.87,1.4,1.448
rcp45cooler_ssp3,2059.0,EIC,3577.90283735,656441.81,1.173,1.163
rcp45cooler_ssp3,2059.0,WECC,1121.48920136,207774.69,1.421,1.474
rcp45cooler_ssp3,2059.0,ERCOT,469.87137104000004,96338.52,1.44,1.473
rcp45cooler_ssp3,2060.0,EIC,3629.17063679,711200.74,1.19,1.26
rcp45cooler_ssp3,2060.0,WECC,1136.67001669,225834.52,1.441,1.602
rcp45cooler_ssp3,2060.0,ERCOT,482.12679545,101176.96,1.478,1.547
rcp45cooler_ssp3,2061.0,EIC,3682.15515055,715084.84,1.207,1.267
rcp45cooler_ssp3,2061.0,WECC,1155.11359481,218556.45,1.464,1.55
rcp45cooler_ssp3,2061.0,ERCOT,492.48258437,99151.76,1.509,1.516
rcp45cooler_ssp3,2062.0,EIC,3732.29317032,703618.85,1.223,1.247
rcp45cooler_ssp3,2062.0,WECC,1173.2563291099998,221702.96,1.487,1.572
rcp45cooler_ssp3,2062.0,ERCOT,505.98571024,101122.27,1.551,1.546
rcp45cooler_ssp3,2063.0,EIC,3787.50069383,734358.34,1.242,1.301
