BA,Scenario_One,Scenario_Two,Mean_Break_Year,Mean_Break_Value_%,Peak_Break_Year,Peak_Break_Value_%,Scenario_Pair
EPE,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
ERCO,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
FMPP,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
FPC,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
FPL,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
GCPD,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
GVL,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
HST,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
IID,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
IPCO,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
ISNE,rcp85hotter_ssp3,rcp85cooler_ssp3,2080.0,5.04,,,11.0
JEA,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
LDWP,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
LGEE,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
MISO,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
NEVP,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
NSB,rcp85hotter_ssp3,rcp85cooler_ssp3,2090.0,5.13,,,11.0
NWMT,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
NYIS,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
PACE,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
PACW,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
PGE,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
PJM,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
PNM,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
PSCO,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
PSEI,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
SC,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
SCEG,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
SCL,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
SEC,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
SOCO,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
SPA,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
SRP,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
SWPP,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
TAL,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
TEC,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
TEPC,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
TIDC,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
TPWR,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
TVA,rcp85hotter_ssp3,rcp85cooler_ssp3,,,2080.0,6.15,11.0
WACM,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
WALC,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
WAUW,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
AEC,rcp85hotter_ssp5,rcp85cooler_ssp5,2080.0,5.18,2080.0,5.39,12.0
AECI,rcp85hotter_ssp5,rcp85cooler_ssp5,2060.0,5.31,2070.0,6.29,12.0
AVA,rcp85hotter_ssp5,rcp85cooler_ssp5,,,2075.0,6.89,12.0
AZPS,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,,12.0
BANC,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,,12.0
BPAT,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,,12.0
CHPD,rcp85hotter_ssp5,rcp85cooler_ssp5,,,2090.0,5.34,12.0
CISO,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,,12.0
CPLE,rcp85hotter_ssp5,rcp85cooler_ssp5,2080.0,5.13,2090.0,5.55,12.0
DOPD,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,,12.0
DUK,rcp85hotter_ssp5,rcp85cooler_ssp5,2090.0,5.52,2090.0,6.24,12.0
EPE,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,,12.0
ERCO,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,,12.0
FMPP,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,,12.0
FPC,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,,12.0
FPL,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,,12.0
GCPD,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,,12.0
GVL,rcp85hotter_ssp5,rcp85cooler_ssp5,,,2070.0,5.09,12.0
HST,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,,12.0
IID,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,,12.0
IPCO,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,,12.0
ISNE,rcp85hotter_ssp5,rcp85cooler_ssp5,2085.0,5.27,,,12.0
JEA,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,,12.0
LDWP,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,,12.0
LGEE,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,,12.0
MISO,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,,12.0
NEVP,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,,12.0
NSB,rcp85hotter_ssp5,rcp85cooler_ssp5,2085.0,5.06,,,12.0
NWMT,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,,12.0
NYIS,rcp85hotter_ssp5,rcp85cooler_ssp5,,,2085.0,7.92,12.0
PACE,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,,12.0
PACW,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,,12.0
PGE,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,,12.0
PJM,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,,12.0
PNM,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,,12.0
PSCO,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,,12.0
PSEI,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,,12.0
SC,rcp85hotter_ssp5,rcp85cooler_ssp5,2090.0,5.31,,,12.0
SCEG,rcp85hotter_ssp5,rcp85cooler_ssp5,2090.0,5.07,2090.0,7.16,12.0
SCL,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,,12.0
SEC,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,,12.0
SOCO,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,,12.0
SPA,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,,12.0
SRP,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,,12.0
SWPP,rcp85hotter_ssp5,rcp85cooler_ssp5,,,2080.0,5.36,12.0
TAL,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,,12.0
TEC,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,,12.0
TEPC,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,,12.0
TIDC,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,,12.0
TPWR,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,,12.0
TVA,rcp85hotter_ssp5,rcp85cooler_ssp5,2090.0,5.06,2080.0,6.51,12.0
WACM,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,,12.0
WALC,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,,12.0
WAUW,rcp85hotter_ssp5,rcp85cooler_ssp5,,,2070.0,5.44,12.0
AEC,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,7.33,2035.0,7.68,3.0
AECI,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,6.34,2035.0,7.6,3.0
AVA,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,6.1,2035.0,6.15,3.0
AZPS,rcp85cooler_ssp5,rcp85cooler_ssp3,2030.0,7.53,2030.0,8.83,3.0
BANC,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,7.03,2035.0,7.55,3.0
BPAT,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,5.31,2035.0,5.47,3.0
CHPD,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,6.08,2035.0,5.76,3.0
CISO,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,6.88,2035.0,6.27,3.0
CPLE,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,11.33,2030.0,5.32,3.0
DOPD,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,6.96,2040.0,11.47,3.0
DUK,rcp85cooler_ssp5,rcp85cooler_ssp3,2030.0,5.6,2030.0,6.0,3.0
EPE,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,7.86,2035.0,8.01,3.0
ERCO,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,9.1,2035.0,9.24,3.0
FMPP,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,8.84,2035.0,8.73,3.0
FPC,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,8.85,2035.0,8.76,3.0
FPL,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,9.1,2035.0,8.85,3.0
GCPD,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,6.23,2035.0,6.11,3.0
GVL,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,8.86,2035.0,8.87,3.0
HST,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,8.86,2035.0,8.87,3.0
IID,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,6.84,2035.0,6.75,3.0
IPCO,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,6.36,2035.0,8.03,3.0
ISNE,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,9.41,2035.0,9.69,3.0
JEA,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,8.84,2035.0,8.93,3.0
LDWP,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,6.93,2035.0,6.95,3.0
LGEE,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,10.06,2035.0,10.28,3.0
MISO,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,10.73,2035.0,10.51,3.0
NEVP,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,6.15,2035.0,6.99,3.0
NSB,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,8.86,2035.0,8.87,3.0
NWMT,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,5.24,2035.0,5.65,3.0
NYIS,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,8.13,2035.0,9.29,3.0
PACE,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,5.53,2035.0,5.39,3.0
PACW,rcp85cooler_ssp5,rcp85cooler_ssp3,2040.0,8.87,2035.0,5.18,3.0
PGE,rcp85cooler_ssp5,rcp85cooler_ssp3,2020.0,5.17,2020.0,5.06,3.0
PJM,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,9.82,2035.0,9.86,3.0
PNM,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,7.8,2035.0,8.26,3.0
PSCO,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,7.5,2035.0,8.36,3.0
PSEI,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,6.27,2035.0,6.25,3.0
SC,rcp85cooler_ssp5,rcp85cooler_ssp3,2030.0,7.84,2030.0,7.87,3.0
SCEG,rcp85cooler_ssp5,rcp85cooler_ssp3,2030.0,7.77,2030.0,7.86,3.0
SCL,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,6.24,2035.0,6.24,3.0
SEC,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,8.85,2035.0,8.5,3.0
SOCO,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,8.68,2035.0,8.72,3.0
SPA,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,6.64,2035.0,6.71,3.0
SRP,rcp85cooler_ssp5,rcp85cooler_ssp3,2030.0,6.64,2030.0,6.75,3.0
SWPP,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,6.26,2035.0,6.36,3.0
TAL,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,8.86,2035.0,8.86,3.0
TEC,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,8.84,2035.0,8.72,3.0
TEPC,rcp85cooler_ssp5,rcp85cooler_ssp3,2030.0,7.0,2030.0,7.47,3.0
TIDC,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,7.09,2035.0,7.42,3.0
TPWR,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,6.28,2035.0,6.2,3.0
TVA,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,9.81,2035.0,10.49,3.0
WACM,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,7.41,2035.0,7.41,3.0
WALC,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,9.05,2035.0,9.45,3.0
WAUW,rcp85cooler_ssp5,rcp85cooler_ssp3,2040.0,9.29,2035.0,5.01,3.0
AEC,rcp45hotter_ssp5,rcp45hotter_ssp3,2035.0,10.92,2035.0,11.16,2.0
AECI,rcp45hotter_ssp5,rcp45hotter_ssp3,2035.0,11.92,2035.0,13.07,2.0
AVA,rcp45hotter_ssp5,rcp45hotter_ssp3,2035.0,9.31,2035.0,9.49,2.0
AZPS,rcp45hotter_ssp5,rcp45hotter_ssp3,2030.0,11.0,2030.0,12.0,2.0
BANC,rcp45hotter_ssp5,rcp45hotter_ssp3,2035.0,12.85,2035.0,13.38,2.0
BPAT,rcp45hotter_ssp5,rcp45hotter_ssp3,2035.0,8.65,2035.0,8.79,2.0
CHPD,rcp45hotter_ssp5,rcp45hotter_ssp3,2035.0,9.04,2035.0,8.7,2.0
CISO,rcp45hotter_ssp5,rcp45hotter_ssp3,2035.0,12.67,2035.0,12.02,2.0
CPLE,rcp45hotter_ssp5,rcp45hotter_ssp3,2030.0,6.75,2030.0,6.77,2.0
DOPD,rcp45hotter_ssp5,rcp45hotter_ssp3,2035.0,10.0,2035.0,7.47,2.0
DUK,rcp45hotter_ssp5,rcp45hotter_ssp3,2030.0,7.39,2030.0,7.76,2.0
EPE,rcp45hotter_ssp5,rcp45hotter_ssp3,2030.0,5.67,2030.0,5.79,2.0
ERCO,rcp45hotter_ssp5,rcp45hotter_ssp3,2030.0,6.3,2030.0,6.35,2.0
FMPP,rcp45hotter_ssp5,rcp45hotter_ssp3,2030.0,5.17,2030.0,5.09,2.0
FPC,rcp45hotter_ssp5,rcp45hotter_ssp3,2030.0,5.18,2035.0,11.63,2.0
FPL,rcp45hotter_ssp5,rcp45hotter_ssp3,2030.0,5.38,2030.0,5.13,2.0
GCPD,rcp45hotter_ssp5,rcp45hotter_ssp3,2035.0,9.17,2035.0,9.09,2.0
GVL,rcp45hotter_ssp5,rcp45hotter_ssp3,2030.0,5.2,2030.0,5.2,2.0
HST,rcp45hotter_ssp5,rcp45hotter_ssp3,2030.0,5.2,2030.0,5.2,2.0
IID,rcp45hotter_ssp5,rcp45hotter_ssp3,2035.0,12.65,2035.0,12.54,2.0
IPCO,rcp45hotter_ssp5,rcp45hotter_ssp3,2035.0,10.17,2035.0,11.82,2.0
ISNE,rcp45hotter_ssp5,rcp45hotter_ssp3,2030.0,5.41,2030.0,5.58,2.0
JEA,rcp45hotter_ssp5,rcp45hotter_ssp3,2030.0,5.15,2030.0,5.3,2.0
LDWP,rcp45hotter_ssp5,rcp45hotter_ssp3,2035.0,12.74,2035.0,12.76,2.0
LGEE,rcp45hotter_ssp5,rcp45hotter_ssp3,2030.0,6.43,2030.0,7.0,2.0
MISO,rcp45hotter_ssp5,rcp45hotter_ssp3,2030.0,7.91,2030.0,7.7,2.0
NEVP,rcp45hotter_ssp5,rcp45hotter_ssp3,2035.0,10.44,2035.0,11.21,2.0
NSB,rcp45hotter_ssp5,rcp45hotter_ssp3,2030.0,5.2,2030.0,5.2,2.0
NWMT,rcp45hotter_ssp5,rcp45hotter_ssp3,2035.0,11.2,2035.0,11.65,2.0
NYIS,rcp45hotter_ssp5,rcp45hotter_ssp3,2030.0,5.08,2030.0,5.45,2.0
PACE,rcp45hotter_ssp5,rcp45hotter_ssp3,2035.0,11.0,2035.0,10.84,2.0
PACW,rcp45hotter_ssp5,rcp45hotter_ssp3,2035.0,7.96,2035.0,8.72,2.0
PGE,rcp45hotter_ssp5,rcp45hotter_ssp3,2035.0,7.85,2035.0,8.09,2.0
PJM,rcp45hotter_ssp5,rcp45hotter_ssp3,2030.0,6.83,2030.0,6.88,2.0
PNM,rcp45hotter_ssp5,rcp45hotter_ssp3,2030.0,5.5,2030.0,5.76,2.0
PSCO,rcp45hotter_ssp5,rcp45hotter_ssp3,2030.0,5.92,2030.0,6.84,2.0
PSEI,rcp45hotter_ssp5,rcp45hotter_ssp3,2035.0,9.22,2035.0,9.2,2.0
SC,rcp45hotter_ssp5,rcp45hotter_ssp3,2030.0,9.65,2030.0,9.73,2.0
SCEG,rcp45hotter_ssp5,rcp45hotter_ssp3,2030.0,9.59,2030.0,9.7,2.0
SCL,rcp45hotter_ssp5,rcp45hotter_ssp3,2035.0,9.19,2035.0,9.19,2.0
SEC,rcp45hotter_ssp5,rcp45hotter_ssp3,2030.0,5.21,2030.0,5.21,2.0
SOCO,rcp45hotter_ssp5,rcp45hotter_ssp3,2035.0,11.76,2035.0,11.93,2.0
SPA,rcp45hotter_ssp5,rcp45hotter_ssp3,2035.0,11.47,2035.0,11.48,2.0
SRP,rcp45hotter_ssp5,rcp45hotter_ssp3,2030.0,10.09,2030.0,10.19,2.0
SWPP,rcp45hotter_ssp5,rcp45hotter_ssp3,2035.0,11.91,2035.0,11.85,2.0
TAL,rcp45hotter_ssp5,rcp45hotter_ssp3,2030.0,5.2,2030.0,5.2,2.0
TEC,rcp45hotter_ssp5,rcp45hotter_ssp3,2030.0,5.18,2030.0,5.05,2.0
TEPC,rcp45hotter_ssp5,rcp45hotter_ssp3,2030.0,10.45,2030.0,10.91,2.0
TIDC,rcp45hotter_ssp5,rcp45hotter_ssp3,2035.0,12.91,2035.0,13.25,2.0
TPWR,rcp45hotter_ssp5,rcp45hotter_ssp3,2035.0,9.23,2035.0,9.16,2.0
TVA,rcp45hotter_ssp5,rcp45hotter_ssp3,2030.0,6.08,2030.0,6.45,2.0
WACM,rcp45hotter_ssp5,rcp45hotter_ssp3,2030.0,5.37,2030.0,5.47,2.0
WALC,rcp45hotter_ssp5,rcp45hotter_ssp3,2030.0,5.96,2030.0,6.63,2.0
WAUW,rcp45hotter_ssp5,rcp45hotter_ssp3,2035.0,11.09,2035.0,12.21,2.0
AEC,rcp85hotter_ssp5,rcp45hotter_ssp5,2060.0,7.43,2055.0,9.7,8.0
AECI,rcp85hotter_ssp5,rcp45hotter_ssp5,2040.0,6.66,2045.0,9.24,8.0
AVA,rcp85hotter_ssp5,rcp45hotter_ssp5,2045.0,5.06,2045.0,5.84,8.0
AZPS,rcp85hotter_ssp5,rcp45hotter_ssp5,2050.0,7.66,2045.0,5.7,8.0
BANC,rcp85hotter_ssp5,rcp45hotter_ssp5,2040.0,8.23,2040.0,7.98,8.0
BPAT,rcp85hotter_ssp5,rcp45hotter_ssp5,2045.0,5.32,2045.0,6.6,8.0
CHPD,rcp85hotter_ssp5,rcp45hotter_ssp5,2050.0,7.87,2045.0,6.61,8.0
CISO,rcp85hotter_ssp5,rcp45hotter_ssp5,2040.0,8.13,2040.0,9.43,8.0
CPLE,rcp85hotter_ssp5,rcp45hotter_ssp5,2065.0,6.27,2065.0,11.06,8.0
DOPD,rcp85hotter_ssp5,rcp45hotter_ssp5,2050.0,7.65,2045.0,6.14,8.0
DUK,rcp85hotter_ssp5,rcp45hotter_ssp5,2065.0,6.36,2065.0,10.15,8.0
EPE,rcp85hotter_ssp5,rcp45hotter_ssp5,2040.0,6.57,2040.0,6.45,8.0
ERCO,rcp85hotter_ssp5,rcp45hotter_ssp5,2040.0,6.46,2040.0,6.31,8.0
FMPP,rcp85hotter_ssp5,rcp45hotter_ssp5,2080.0,6.5,2080.0,5.98,8.0
FPC,rcp85hotter_ssp5,rcp45hotter_ssp5,2080.0,6.43,2085.0,5.11,8.0
FPL,rcp85hotter_ssp5,rcp45hotter_ssp5,2080.0,5.89,2085.0,6.82,8.0
GCPD,rcp85hotter_ssp5,rcp45hotter_ssp5,2050.0,7.88,2050.0,6.94,8.0
GVL,rcp85hotter_ssp5,rcp45hotter_ssp5,2075.0,5.31,2085.0,5.98,8.0
HST,rcp85hotter_ssp5,rcp45hotter_ssp5,2080.0,5.28,2085.0,6.42,8.0
IID,rcp85hotter_ssp5,rcp45hotter_ssp5,2040.0,7.76,2040.0,8.86,8.0
IPCO,rcp85hotter_ssp5,rcp45hotter_ssp5,2045.0,5.78,2050.0,8.29,8.0
ISNE,rcp85hotter_ssp5,rcp45hotter_ssp5,2040.0,6.63,2040.0,9.21,8.0
JEA,rcp85hotter_ssp5,rcp45hotter_ssp5,2075.0,5.86,2080.0,5.56,8.0
LDWP,rcp85hotter_ssp5,rcp45hotter_ssp5,2040.0,8.04,2040.0,6.57,8.0
LGEE,rcp85hotter_ssp5,rcp45hotter_ssp5,2065.0,5.25,,,8.0
MISO,rcp85hotter_ssp5,rcp45hotter_ssp5,2040.0,6.72,2040.0,5.77,8.0
NEVP,rcp85hotter_ssp5,rcp45hotter_ssp5,2045.0,5.01,2045.0,5.31,8.0
NSB,rcp85hotter_ssp5,rcp45hotter_ssp5,2075.0,5.2,2080.0,6.15,8.0
NWMT,rcp85hotter_ssp5,rcp45hotter_ssp5,2045.0,7.94,2045.0,6.65,8.0
NYIS,rcp85hotter_ssp5,rcp45hotter_ssp5,2040.0,6.18,2040.0,9.02,8.0
PACE,rcp85hotter_ssp5,rcp45hotter_ssp5,2045.0,9.01,2040.0,5.05,8.0
PACW,rcp85hotter_ssp5,rcp45hotter_ssp5,2045.0,5.51,2050.0,7.84,8.0
PGE,rcp85hotter_ssp5,rcp45hotter_ssp5,2045.0,5.04,2050.0,7.6,8.0
PJM,rcp85hotter_ssp5,rcp45hotter_ssp5,2045.0,6.49,2040.0,5.2,8.0
PNM,rcp85hotter_ssp5,rcp45hotter_ssp5,2040.0,7.19,2040.0,6.78,8.0
PSCO,rcp85hotter_ssp5,rcp45hotter_ssp5,2040.0,7.29,2040.0,6.9,8.0
PSEI,rcp85hotter_ssp5,rcp45hotter_ssp5,2050.0,7.98,2045.0,5.84,8.0
SC,rcp85hotter_ssp5,rcp45hotter_ssp5,2060.0,5.02,2065.0,12.08,8.0
SCEG,rcp85hotter_ssp5,rcp45hotter_ssp5,2065.0,7.38,2065.0,12.27,8.0
SCL,rcp85hotter_ssp5,rcp45hotter_ssp5,2045.0,5.0,2045.0,5.55,8.0
SEC,rcp85hotter_ssp5,rcp45hotter_ssp5,2075.0,6.74,2080.0,5.22,8.0
SOCO,rcp85hotter_ssp5,rcp45hotter_ssp5,2060.0,6.14,2065.0,14.37,8.0
SPA,rcp85hotter_ssp5,rcp45hotter_ssp5,2040.0,5.23,2040.0,6.21,8.0
SRP,rcp85hotter_ssp5,rcp45hotter_ssp5,2045.0,5.06,2045.0,5.79,8.0
SWPP,rcp85hotter_ssp5,rcp45hotter_ssp5,2040.0,7.02,2040.0,6.45,8.0
TAL,rcp85hotter_ssp5,rcp45hotter_ssp5,2075.0,5.64,2085.0,7.03,8.0
TEC,rcp85hotter_ssp5,rcp45hotter_ssp5,2080.0,6.53,2080.0,5.92,8.0
TEPC,rcp85hotter_ssp5,rcp45hotter_ssp5,2050.0,7.49,2045.0,5.35,8.0
TIDC,rcp85hotter_ssp5,rcp45hotter_ssp5,2040.0,8.37,2035.0,5.21,8.0
TPWR,rcp85hotter_ssp5,rcp45hotter_ssp5,2045.0,5.02,2045.0,5.88,8.0
TVA,rcp85hotter_ssp5,rcp45hotter_ssp5,2055.0,5.05,2055.0,8.05,8.0
WACM,rcp85hotter_ssp5,rcp45hotter_ssp5,2040.0,7.59,2040.0,5.17,8.0
WALC,rcp85hotter_ssp5,rcp45hotter_ssp5,2040.0,5.96,2040.0,5.83,8.0
WAUW,rcp85hotter_ssp5,rcp45hotter_ssp5,2040.0,5.11,2040.0,5.13,8.0
AEC,rcp85cooler_ssp3,rcp45cooler_ssp3,2070.0,7.16,2065.0,8.19,5.0
AECI,rcp85cooler_ssp3,rcp45cooler_ssp3,2060.0,5.93,2085.0,6.64,5.0
AVA,rcp85cooler_ssp3,rcp45cooler_ssp3,2060.0,5.63,2060.0,5.7,5.0
AZPS,rcp85cooler_ssp3,rcp45cooler_ssp3,2090.0,6.14,,,5.0
BANC,rcp85cooler_ssp3,rcp45cooler_ssp3,2060.0,5.72,2065.0,6.51,5.0
BPAT,rcp85cooler_ssp3,rcp45cooler_ssp3,2060.0,6.01,2060.0,6.84,5.0
CHPD,rcp85cooler_ssp3,rcp45cooler_ssp3,2060.0,5.66,2060.0,5.96,5.0
CISO,rcp85cooler_ssp3,rcp45cooler_ssp3,2060.0,5.87,2065.0,7.68,5.0
CPLE,rcp85cooler_ssp3,rcp45cooler_ssp3,2075.0,6.56,2075.0,5.21,5.0
DOPD,rcp85cooler_ssp3,rcp45cooler_ssp3,2060.0,5.15,2060.0,5.58,5.0
DUK,rcp85cooler_ssp3,rcp45cooler_ssp3,2075.0,6.57,2075.0,7.22,5.0
EPE,rcp85cooler_ssp3,rcp45cooler_ssp3,2060.0,9.62,2060.0,9.72,5.0
ERCO,rcp85cooler_ssp3,rcp45cooler_ssp3,2060.0,9.4,2060.0,8.31,5.0
FMPP,rcp85cooler_ssp3,rcp45cooler_ssp3,2090.0,5.77,2050.0,5.92,5.0
FPC,rcp85cooler_ssp3,rcp45cooler_ssp3,2090.0,5.74,,,5.0
FPL,rcp85cooler_ssp3,rcp45cooler_ssp3,2090.0,5.18,,,5.0
GCPD,rcp85cooler_ssp3,rcp45cooler_ssp3,2060.0,5.53,2065.0,6.92,5.0
GVL,rcp85cooler_ssp3,rcp45cooler_ssp3,2090.0,6.07,2035.0,5.66,5.0
HST,rcp85cooler_ssp3,rcp45cooler_ssp3,2040.0,5.02,,,5.0
IID,rcp85cooler_ssp3,rcp45cooler_ssp3,2060.0,5.29,2060.0,5.79,5.0
IPCO,rcp85cooler_ssp3,rcp45cooler_ssp3,2060.0,5.76,2065.0,8.06,5.0
ISNE,rcp85cooler_ssp3,rcp45cooler_ssp3,2055.0,7.7,2055.0,7.91,5.0
JEA,rcp85cooler_ssp3,rcp45cooler_ssp3,2090.0,6.55,2055.0,5.98,5.0
LDWP,rcp85cooler_ssp3,rcp45cooler_ssp3,2060.0,5.61,2060.0,5.55,5.0
LGEE,rcp85cooler_ssp3,rcp45cooler_ssp3,2030.0,5.38,2030.0,6.4,5.0
MISO,rcp85cooler_ssp3,rcp45cooler_ssp3,2060.0,7.27,2060.0,6.11,5.0
NEVP,rcp85cooler_ssp3,rcp45cooler_ssp3,2065.0,5.37,2065.0,5.01,5.0
NSB,rcp85cooler_ssp3,rcp45cooler_ssp3,2090.0,6.2,2040.0,5.6,5.0
NWMT,rcp85cooler_ssp3,rcp45cooler_ssp3,2060.0,7.7,2060.0,5.85,5.0
NYIS,rcp85cooler_ssp3,rcp45cooler_ssp3,2055.0,5.79,2065.0,8.45,5.0
