Year,BA,Mean_Abs_Diff_MWh,Mean_Rel_Diff_%,Peak_Abs_Diff_M1_MWh,Peak_Rel_Diff_M1_%,Peak_Abs_Diff_M2_MWh,Peak_Rel_Diff_M2_%
2030,LDWP,53.96,1.25,81.08,1.2,3.6200000000008004,0.04
2030,LGEE,69.77,1.68,139.61,2.35,111.30999999999949,1.5
2030,MISO,651.76,0.75,689.71,0.58,1289.5400000000081,0.92
2030,NEVP,46.95,0.77,89.83,0.95,114.70999999999913,1.0
2030,NSB,1.51,2.55,2.75,2.92,4.099999999999994,3.68
2030,NWMT,12.55,1.02,13.53,0.87,19.409999999999854,1.07
2030,NYIS,430.36,2.1,560.01,1.92,1051.7999999999956,2.98
2030,PACE,107.57,1.39,115.02,1.09,35.849999999998545,0.29
2030,PACW,28.9,0.94,33.47,0.82,46.039999999999964,0.94
2030,PGE,32.07,1.06,45.9,1.12,43.850000000000364,0.81
2030,PJM,782.06,0.7,1412.29,0.89,1161.640000000014,0.59
2030,PNM,23.79,1.1,28.98,0.96,17.59999999999991,0.47
2030,PSCO,83.29,1.3,121.47,1.36,277.6800000000003,2.46
2030,PSEI,38.4,0.81,52.45,0.85,50.649999999999636,0.66
2030,SC,50.8,1.32,88.89,1.59,72.3100000000004,1.08
2030,SCEG,50.99,1.26,95.15,1.66,50.19999999999982,0.73
2030,SCL,12.19,0.79,17.38,0.87,16.289999999999964,0.68
2030,SEC,3.48,1.91,5.05,1.83,4.529999999999973,1.43
2030,SOCO,321.34,1.02,627.08,1.37,108.86000000000058,0.2
2030,SPA,0.94,1.12,1.38,1.22,0.6299999999999955,0.47
2030,SRP,55.2,1.07,108.58,1.35,105.97999999999956,1.01
2030,SWPP,806.17,2.22,1307.62,2.42,768.8999999999942,1.18
2030,TAL,8.5,2.21,14.3,2.44,15.550000000000068,2.21
2030,TEC,69.99,2.32,103.42,2.33,17.38000000000011,0.35
2030,TEPC,23.12,0.98,45.26,1.27,26.300000000000182,0.55
2030,TIDC,4.43,1.12,6.87,1.05,6.529999999999973,0.74
2030,TPWR,7.01,0.9,9.23,0.89,6.8599999999999,0.53
2030,TVA,223.39,0.94,404.38,1.18,410.1900000000023,0.99
2030,WACM,58.59,1.49,66.42,1.34,75.27000000000044,1.28
2030,WALC,11.07,0.83,14.52,0.77,3.5399999999999636,0.16
2030,WAUW,1.55,1.57,1.8,1.28,1.4300000000000068,0.85
2035,AEC,10.12,1.5,16.38,1.62,9.569999999999936,0.78
2035,AECI,169.98,6.0,209.21,4.83,195.53999999999996,3.64
2035,AVA,29.25,1.44,46.07,1.76,57.039999999999964,1.81
2035,AZPS,100.6,1.91,159.67,1.67,224.13999999999942,1.85
2035,BANC,92.86,3.56,106.71,2.38,150.67000000000007,2.57
2035,BPAT,144.79,1.58,238.61,2.12,282.77000000000044,1.96
2035,CHPD,5.53,1.71,12.72,2.71,13.81000000000006,2.11
2035,CISO,1251.23,3.52,1419.53,2.64,2311.769999999997,3.49
2035,CPLE,124.16,1.43,174.97,1.39,85.95000000000073,0.55
2035,DOPD,4.46,1.62,8.23,2.23,9.080000000000041,1.94
2035,DUK,183.89,1.2,280.06,1.3,163.39000000000306,0.61
2035,EPE,49.47,4.06,76.23,3.75,101.37999999999965,3.94
2035,ERCO,1573.14,3.28,2244.85,3.04,2580.1199999999953,2.92
2035,FMPP,30.96,1.15,48.05,1.25,2.5700000000006185,0.06
2035,FPC,112.67,1.4,183.93,1.51,108.71999999999935,0.75
2035,FPL,204.33,1.1,320.25,1.2,151.22999999999956,0.49
2035,GCPD,10.2,1.23,6.8,0.62,9.159999999999854,0.74
2035,GVL,5.65,1.85,9.84,2.19,8.910000000000082,1.64
2035,HST,1.2,1.47,1.54,1.31,2.5900000000000034,1.99
2035,IID,18.53,3.3,33.16,2.83,44.62999999999988,3.01
2035,IPCO,45.89,1.74,46.31,1.09,32.219999999999345,0.6
2035,ISNE,751.97,4.11,873.32,3.39,1059.6800000000003,3.24
2035,JEA,32.33,1.65,55.26,2.0,4.110000000000127,0.12
2035,LDWP,149.94,3.41,176.61,2.44,253.39999999999964,2.77
2035,LGEE,61.11,1.4,81.24,1.31,58.10999999999967,0.77
2035,MISO,3577.17,3.89,4146.43,3.2,4945.4100000000035,3.25
2035,NEVP,83.84,1.43,90.81,0.86,82.17000000000007,0.64
2035,NSB,1.34,2.13,2.5,2.56,1.9300000000000068,1.63
2035,NWMT,38.69,2.89,41.43,2.52,47.700000000000045,2.47
2035,NYIS,865.2,4.1,1094.25,3.56,1441.1800000000003,3.9
2035,PACE,321.28,3.77,349.68,3.0,512.7999999999993,3.69
2035,PACW,53.44,1.63,56.92,1.35,101.85999999999967,2.04
2035,PGE,51.95,1.6,60.85,1.42,36.090000000000146,0.65
2035,PJM,2353.46,2.15,2452.2,1.44,4629.600000000006,2.28
2035,PNM,145.46,5.99,186.92,5.38,226.00000000000045,5.48
2035,PSCO,441.72,6.2,565.86,5.45,702.0600000000013,5.38
2035,PSEI,68.19,1.32,126.2,1.95,148.65999999999985,1.89
2035,SC,53.61,1.3,85.26,1.46,38.340000000000146,0.53
2035,SCEG,52.44,1.23,91.56,1.54,29.660000000000764,0.4
2035,SCL,21.94,1.3,38.44,1.83,26.75,1.04
2035,SEC,2.77,1.41,3.66,1.26,4.25,1.16
2035,SOCO,374.23,1.15,607.55,1.32,252.22999999999593,0.45
2035,SPA,3.66,4.19,4.72,3.93,5.22999999999999,3.77
2035,SRP,101.32,2.02,165.8,1.78,248.1800000000003,2.14
2035,SWPP,2422.32,6.43,3028.68,5.39,3239.62999999999,4.82
2035,TAL,7.24,1.77,11.34,1.87,18.730000000000018,2.51
2035,TEC,50.82,1.58,72.76,1.56,54.529999999999745,0.99
